participant_id,domain,sequence_length,sequence,prediction,confidence,reasoning
1,coin,5,"[True, True, False, False, True]",30.678979939254095,31.774856490716534,"Seems random, close to 50-50"
1,coin,10,"[True, False, True, False, False, False, True, True, True, False]",51.862006016573375,43.04167649820461,Pattern suggests alternating outcomes
1,basketball,5,"[True, False, True, True, True]",73.09611550432177,80.64581133473511,They're on a hot streak
1,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",62.226066294232645,80.73928278010445,Seems like a skilled player
1,weather,5,"[True, True, True, True, False]",62.5853861158308,63.54559083363612,Season probably affects likelihood
1,weather,10,"[True, True, False, True, True, False, False, False, True, True]",41.924724961400486,53.458308690775134,Change seems likely after several days
2,coin,5,"[True, True, False, False, True]",56.497169683956905,73.41441999566462,"After several tails, heads is due"
2,coin,10,"[True, False, True, False, False, False, True, True, True, False]",45.79996581358724,58.86883340626726,"Previous outcomes don't matter, 50-50"
2,basketball,5,"[True, False, True, True, True]",74.90245701199814,60.921780081693825,Seems like a skilled player
2,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",59.48652270460053,69.6579464199645,Seems like a skilled player
2,weather,5,"[True, True, True, True, False]",54.28875143939078,48.8902363864771,Change seems likely after several days
2,weather,10,"[True, True, False, True, True, False, False, False, True, True]",65.66541652339232,43.876553083867776,Season probably affects likelihood
3,coin,5,"[True, True, False, False, True]",70.52696809336815,68.4839379652209,"After several tails, heads is due"
3,coin,10,"[True, False, True, False, False, False, True, True, True, False]",47.128080374098936,57.01875286312859,"Previous outcomes don't matter, 50-50"
3,basketball,5,"[True, False, True, True, True]",74.83792180458829,73.57847144041358,They're on a hot streak
3,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",74.84089486932052,61.183754843457194,They're on a hot streak
3,weather,5,"[True, True, True, True, False]",65.11850430083095,73.66044684205963,Weather tends to persist
3,weather,10,"[True, True, False, True, True, False, False, False, True, True]",58.8411431132466,87.86673723718783,Change seems likely after several days
4,coin,5,"[True, True, False, False, True]",49.69988134239441,47.78545200294214,"Previous outcomes don't matter, 50-50"
4,coin,10,"[True, False, True, False, False, False, True, True, True, False]",63.67096528820789,64.66303923288427,Random but slightly favoring heads
4,basketball,5,"[True, False, True, True, True]",68.24088833407912,65.16339750104399,Strong pattern of success
4,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",77.94796905478725,74.64349043965876,Strong pattern of success
4,weather,5,"[True, True, True, True, False]",69.96321888637087,81.71081481913497,Weather patterns show persistence
4,weather,10,"[True, True, False, True, True, False, False, False, True, True]",77.11849481858307,78.53613678185012,Change seems likely after several days
5,coin,5,"[True, True, False, False, True]",46.48340406196046,48.511721120849934,Random but slightly favoring heads
5,coin,10,"[True, False, True, False, False, False, True, True, True, False]",62.104921152199765,77.85391424775936,"After several tails, heads is due"
5,basketball,5,"[True, False, True, True, True]",62.07024988282507,70.22848971846345,Seems like a skilled player
5,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",59.66752923141206,75.60217643874465,Strong pattern of success
5,weather,5,"[True, True, True, True, False]",66.8426158420076,100.0,Patterns suggest stable conditions
5,weather,10,"[True, True, False, True, True, False, False, False, True, True]",53.59304160238573,77.10197632463948,Change seems likely after several days
6,coin,5,"[True, True, False, False, True]",47.00263289622586,54.8747869896526,"Previous outcomes don't matter, 50-50"
6,coin,10,"[True, False, True, False, False, False, True, True, True, False]",50.94984626021906,48.788971712955046,"Seems random, close to 50-50"
6,basketball,5,"[True, False, True, True, True]",90.13983506513766,55.86506783033959,Player seems to recover well after misses
6,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",74.27654551739381,93.16054253572062,Player seems to recover well after misses
6,weather,5,"[True, True, True, True, False]",73.94014364641751,72.11000450337097,Weather tends to persist
6,weather,10,"[True, True, False, True, True, False, False, False, True, True]",67.13960894842329,48.932492043278074,Season probably affects likelihood
7,coin,5,"[True, True, False, False, True]",52.56812321182837,86.38454193016928,"Seems random, close to 50-50"
7,coin,10,"[True, False, True, False, False, False, True, True, True, False]",52.01531908097536,70.34541518734217,"Previous outcomes don't matter, 50-50"
7,basketball,5,"[True, False, True, True, True]",52.50604663634051,88.18193500542517,Seems like a skilled player
7,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",73.36909544229646,82.09598921993064,Player seems to recover well after misses
7,weather,5,"[True, True, True, True, False]",55.98328963088288,76.62677995740756,Season probably affects likelihood
7,weather,10,"[True, True, False, True, True, False, False, False, True, True]",50.45438473477193,94.50726788102932,Weather patterns show persistence
8,coin,5,"[True, True, False, False, True]",46.075283247039486,67.33131957286903,Pattern suggests alternating outcomes
8,coin,10,"[True, False, True, False, False, False, True, True, True, False]",59.09404706166343,84.82812277004821,"Seems random, close to 50-50"
8,basketball,5,"[True, False, True, True, True]",62.08812972521501,71.22497708501669,Seems like a skilled player
8,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",70.96265193600009,89.16796933804083,Seems like a skilled player
8,weather,5,"[True, True, True, True, False]",58.950037937274686,71.61410747972593,Change seems likely after several days
8,weather,10,"[True, True, False, True, True, False, False, False, True, True]",57.66322868762395,65.50041672739958,Weather tends to persist
9,coin,5,"[True, True, False, False, True]",52.921232502891115,54.89651939505701,"Previous outcomes don't matter, 50-50"
9,coin,10,"[True, False, True, False, False, False, True, True, True, False]",52.382065029350855,59.651929585277465,"Seems random, close to 50-50"
9,basketball,5,"[True, False, True, True, True]",79.99322882814359,73.05619996887617,Player seems to recover well after misses
9,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",73.60827326927468,63.51102579375723,Missing might affect confidence
9,weather,5,"[True, True, True, True, False]",63.14986793831264,55.13770245162817,Change seems likely after several days
9,weather,10,"[True, True, False, True, True, False, False, False, True, True]",67.41304794712227,54.43709619474813,Change seems likely after several days
10,coin,5,"[True, True, False, False, True]",53.61455027120256,59.596666937384626,"Previous outcomes don't matter, 50-50"
10,coin,10,"[True, False, True, False, False, False, True, True, True, False]",59.13561502898515,57.920368963393074,"After several tails, heads is due"
10,basketball,5,"[True, False, True, True, True]",75.13369477615495,84.90578754825553,Player seems to recover well after misses
10,basketball,10,"[True, False, True, True, True, True, True, True, False, False]",72.27440762824088,67.79589206442621,Missing might affect confidence
10,weather,5,"[True, True, True, True, False]",77.22172329397797,82.77943776602781,Season probably affects likelihood
10,weather,10,"[True, True, False, True, True, False, False, False, True, True]",39.26904744823625,72.31287786310702,Change seems likely after several days
